pcds,laua,lat,long
BS1 3BW,E06000023,51.455386,-2.591469
BS1 3BX,E06000023,51.458512,-2.584559
BS1 3BY,E06000023,51.455378,-2.592908
BS1 3BZ,E06000023,51.456925,-2.587144
BS1 3DA,E06000023,51.459132,-2.58494
BS1 3DB,E06000023,51.456306,-2.592632
BS1 3DD,E06000023,51.45647,-2.592102
BS1 3DE,E06000023,51.457184,-2.591492
BS1 3DF,E06000023,51.457311,-2.58768
BS1 3DG,E06000023,51.460344,-2.592541
BS1 3DH,E06000023,51.457156,-2.586239
BS1 3DJ,E06000023,51.456965,-2.586783
BS1 3DL,E06000023,51.455378,-2.592908
BS1 3DN,E06000023,51.457092,-2.591793
BS1 3DP,E06000023,51.457184,-2.591492
BS1 3DQ,E06000023,51.456965,-2.586783
BS1 3DR,E06000023,51.457557,-2.590347
BS1 3DS,E06000023,51.457476,-2.590575
BS1 3DT,E06000023,51.457026,-2.590612
BS1 3DU,E06000023,51.456965,-2.586639
BS1 3DW,E06000023,51.457375,-2.590934
BS1 3DX,E06000023,51.457182,-2.590053
BS1 3DY,E06000023,51.457263,-2.588197
BS1 3DZ,E06000023,51.457708,-2.587426
BS1 3EA,E06000023,51.457392,-2.58948
BS1 3EB,E06000023,51.456751,-2.58986
BS1 3ED,E06000023,51.457741,-2.589715
BS1 3EE,E06000023,51.458054,-2.58972
BS1 3EF,E06000023,51.457521,-2.586934
BS1 3EG,E06000023,51.457514,-2.586632
BS1 3EH,E06000023,51.457196,-2.588974
BS1 3EJ,E06000023,51.456299,-2.588602
BS1 3EL,E06000023,51.458418,-2.589321
BS1 3EN,E06000023,51.458355,-2.583521
BS1 3EP,E06000023,51.457413,-2.588633
BS1 3EQ,E06000023,51.459419,-2.592169
BS1 3ER,E06000023,51.459419,-2.592169
BS1 3ES,E06000023,51.459419,-2.592169
BS1 3ET,E06000023,51.456814,-2.588077
BS1 3EU,E06000023,51.45774,-2.588261
BS1 3EW,E06000023,51.459419,-2.592169
BS1 3EX,E06000023,51.457008,-2.585344
BS1 3EY,E06000023,51.458525,-2.589351
BS1 3EZ,E06000023,51.456299,-2.588602
BS1 3FB,E06000023,51.460716,-2.591453
BS1 3FD,E06000023,51.464055,-2.589208
BS1 3FE,E06000023,51.463954,-2.58948
BS1 3FF,E06000023,51.463774,-2.589535
BS1 3FG,E06000023,51.463623,-2.589216
BS1 3FH,E06000023,51.46375,-2.588916
BS1 3FJ,E06000023,51.459074,-2.594426
BS1 3HA,E06000023,51.458188,-2.588254
BS1 3HB,E06000023,51.45796,-2.58874
BS1 3HE,E06000023,51.458314,-2.58827
BS1 3HF,E06000023,51.457906,-2.587241
BS1 3HG,E06000023,51.457906,-2.587241
BS1 3HH,E06000023,51.458345,-2.587378
BS1 3HL,E06000023,51.456209,-2.583348
BS1 3HP,E06000023,51.458097,-2.588626
BS1 3HQ,E06000023,51.458097,-2.588626
BS1 3HR,E06000023,51.458097,-2.588626
BS1 3HS,E06000023,51.45809,-2.590065
BS1 3HT,E06000023,51.457785,-2.591444
BS1 3HU,E06000023,51.458112,-2.585747
BS1 3HX,E06000023,51.456238,-2.591739
BS1 3HY,E06000023,51.457561,-2.591355
BS1 3HZ,E06000023,51.458015,-2.590712
BS1 3JA,E06000023,51.4579,-2.590408
BS1 3JB,E06000023,51.457184,-2.591492
BS1 3JD,E06000023,51.457847,-2.590177
BS1 3JE,E06000023,51.458315,-2.589953
BS1 3JF,E06000023,51.458656,-2.586675
BS1 3JG,E06000023,51.458083,-2.591504
BS1 3JH,E06000023,51.458908,-2.586506
BS1 3JJ,E06000023,51.45809,-2.590065
BS1 3JL,E06000023,51.458509,-2.590504
BS1 3JN,E06000023,51.45809,-2.590065
BS1 3JP,E06000023,51.458952,-2.588637
BS1 3JQ,E06000023,51.458626,-2.588992
BS1 3JR,E06000023,51.458975,-2.587615
BS1 3JS,E06000023,51.458674,-2.588302
BS1 3JT,E06000023,51.458621,-2.588157
BS1 3JU,E06000023,51.458677,-2.587856
BS1 3JW,E06000023,51.45809,-2.590065
BS1 3JX,E06000023,51.458581,-2.58712
BS1 3JY,E06000023,51.458754,-2.586792
BS1 3JZ,E06000023,51.458522,-2.586343
BS1 3LA,E06000023,51.459571,-2.594143
BS1 3LB,E06000023,51.458996,-2.588637
BS1 3LD,E06000023,51.456321,-2.584285
BS1 3LE,E06000023,51.459856,-2.589397
BS1 3LF,E06000023,51.459717,-2.588474
BS1 3LG,E06000023,51.459798,-2.586418
BS1 3LH,E06000023,51.458904,-2.592481
BS1 3LJ,E06000023,51.459806,-2.588633
